Nom,Téléphone,Site Web,Adresse,Note Google,Nombre d'avis,Région,Latitude,Longitude
DAHOME - Atelier de rénovation et Architecture d’intérieur à Paris,01 89 16 90 94,https://www.dahome-renovation.com/,"5 Rue du Dahomey, 75011 Paris, France",5,22,IDF,48.8512598,2.3828548
TCP-RENOVATION-Rénovation appartement Paris et réseau architecte intérieur,06 58 88 65 86,http://www.tcp-renovation.com/,"17 AVENUE NIEL, 75017 75017 - PARIS 17, France",4.9,68,IDF,48.8802283,2.2947892
Architecte Paris - KIDA,06 95 08 78 87,https://www.kid-a.fr/,"42 Rue Sedaine, 75011 Paris, France",5,41,IDF,48.8570346,2.3751625
Reno I Rénovation appartement & rénovation d'intérieur,01 84 80 70 97,http://www.reno.fr/,"61 Rue Sedaine, 75011 Paris, France",4.8,95,IDF,48.8577965,2.3763687
DESIGN HOME - Rénovation et Travaux d'intérieur,07 65 71 57 22,https://www.reno-designhome.com/,"59 Rue de Ponthieu, 75008 Paris, France",5,82,IDF,48.872101,2.304882000000001
Architecte | PARIS - KAROLINA FIDOR STUDIO,06 28 35 85 59,https://lamaisondesarchitectes.com/architectes/karoline-fidor,"43 Rue de l'Ourcq, 75019 Paris, France",5,9,IDF,48.8896248,2.3832481
Architecte Paris - ACF,06 83 71 33 19,https://www.architectesparis.com/,"98 Bd Malesherbes, 75017 Paris, France",5,12,IDF,48.8814628,2.3122343
Perspectives Architecture & Design - Architecte d'intérieur - Paris,06 63 58 50 01,http://perspectives-architecturedesign.com/,"261 Rue du Faubourg Saint-Martin, 75010 Paris, France",5,14,IDF,48.8834818,2.3679037
Créateurs d'intérieur,01 48 04 76 36,https://www.createursdinterieur.com/,"9 Pass. Dagorno, 75020 Paris, France",4.8,183,IDF,48.85544729999999,2.4049722
Ouest Home,01 81 29 04 91,https://www.ouest-home.com/,"150 Av. de Wagram, 75017 Paris, France",4.9,55,IDF,48.8864169,2.304557
Paris Architecte d'Intérieur Sébastien Halimi,01 45 27 07 33,https://paris-architecte-interieur.com/,"58 Av. de Versailles, 75016 Paris, France",4.8,65,IDF,48.8479886,2.2739725
